__timestamp,location_name,latitude,longitude,PM2.5
30-10-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,126.4202899
18-05-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,126.4166304
20-12-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,126.4
11-06-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,126.3735294
26-03-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,126.3333333
11-01-2020,"Central School, Lucknow - CPCB",26.8821003,80.9302753,126.3326042
30-01-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,126.3292683
08-02-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,126.2945055
23-10-2019,"Central School, Lucknow - CPCB",26.8821003,80.9302753,126.2794681
04-02-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,126.2791667
14-02-2021,"Central School, Lucknow - CPCB",26.8821003,80.9302753,126.2338028
23-11-2020,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,126.1
30-01-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,126.0911458
08-01-2020,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,125.9891304
27-01-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,125.9448958
20-01-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,125.9402985
30-12-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,125.9052632
01-01-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,125.8695652
17-10-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,125.8311458
21-12-2021,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,125.8178431
25-01-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,125.8053191
25-03-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,125.796875
03-11-2021,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579,125.7292308
02-10-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,125.725641
25-01-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,125.7068966
21-06-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,125.6845556
11-10-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,125.5211268
02-12-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,125.5054167
10-11-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,125.5046729
18-11-2021,"Central School, Lucknow - CPCB",26.8821003,80.9302753,125.4365385
16-12-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,125.3863158
07-05-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,125.3292537
04-04-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,125.3212088
19-04-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,125.3017544
19-04-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,125.2642105
04-02-2021,"Central School, Lucknow - CPCB",26.8821003,80.9302753,125.2235955
17-02-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,125.2033333
23-02-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,125.10975
25-10-2020,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,124.8688525
15-06-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.8031579
26-01-2020,"Central School, Lucknow - CPCB",26.8821003,80.9302753,124.7845263
28-12-2021,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,124.7353448
01-11-2021,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,124.7123596
16-06-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.6905208
30-12-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,124.6677083
09-02-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,124.5769231
05-08-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,124.5713889
12-03-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,124.5565657
12-12-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.5266667
28-06-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.4776596
19-11-2021,"Central School, Lucknow - CPCB",26.8821003,80.9302753,124.4471698
13-01-2020,"Central School, Lucknow - CPCB",26.8821003,80.9302753,124.4270833
15-10-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.4013043
13-10-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.2789474
08-10-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,124.2682759
03-04-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.2180488
03-02-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.1842105
27-12-2021,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,124.1516129
03-12-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,124.1320833
15-10-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,124.1320755
02-02-2019,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,124.1272727
02-02-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,124.0830435
02-05-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,124.0318182
